1,10.4812,16.3988,2,16,9,394.5,1
1,-3.04861,-14,2,25,11,628,-1
1,11.1835,15.9349,1.875,16,12,783.5,1
1,-4.7927,-14.125,2,25,18,1055.5,-1
1,12.1956,15.108,1.875,16,20,1326.5,1
1,11.5514,15.7719,1.9375,16,18,1611,1
1,10.6786,16.5574,1.9375,16,18,1703.5,1
1,12.8954,14.4782,2.125,16,15,2119,1
1,11.5642,15.6763,1.875,16,20,2404.5,1
1,-1.75989,-13.875,2,25,17,2574,-1
1,12.8756,14.2438,1.9375,16,13,2935,1
1,11.2417,16.0506,2.0625,16,14,2973.5,1
1,-3.92302,-13.875,2,25,17,3034.5,-1
1,10.3453,16.6051,1.875,16,16,3309.5,1
1,-3.11202,-14,2,25,12,3756.5,-1
1,13.0261,14.2765,1.875,16,12,3797,1
1,10.5351,16.4343,1.875,16,16,4288.5,1
1,12.2318,15.0755,2,16,1,4753.5,1
1,-1.69222,-14.125,2,25,10,5102,-1
1,13.477,13.7866,1.9375,16,7,6096,1
1,12.1829,14.8672,2.0625,16,17,6463.5,1
1,10.6952,16.2903,2.125,16,19,6564.5,1
1,12.4146,14.995,1.9375,16,18,6649.5,1
1,12.6743,14.5932,2.0625,16,4,6802,1
2,-1.12305,-14,2,25,4,293.5,-1
2,10.8438,16.1565,2.0625,16,6,407,1
2,10.5929,16.4664,2.0625,16,4,443.5,1
2,-2.07516,-14,2,25,12,758.5,-1
2,11.3625,15.7738,2.125,16,11,798.5,1
2,-3.46632,-13.875,2,25,13,859,-1
2,-1.30433,-14.125,2,25,10,1013.5,-1
2,12.5819,14.5081,2,16,9,1135.5,1
2,-1.11303,-14.0625,2,25,8,1468.5,-1
2,-1.1632,-13.875,2,25,9,1790.5,-1
2,-1.63921,-14,2,25,0,2321,-1
2,-2.45278,-14,2,25,3,2811.5,-1
2,-2.92839,-14.0625,2,25,1,2850.5,-1
2,10.3103,16.7207,2.0625,16,4,2999,1
2,-4.48766,-14,2,25,4,3056,-1
2,-0.349305,-13.9375,2,25,2,3095.5,-1
2,10.6364,16.3432,2,16,2,3432,1
2,-4.93691,-14.0625,2,25,1,3547.5,-1
2,-4.23544,-13.9375,2,25,6,3626.5,-1
2,10.1777,16.8401,2.125,16,11,3888.5,1
2,10.9937,16.2739,2,16,10,3927,1
2,10.9193,16.0885,1.9375,16,7,4058,1
2,11.7072,15.4635,2.125,16,11,4097,1
2,-4.02978,-13.9375,2,25,19,4219,-1
